para_id,essay_id,para_text,adu_spans,ac_types,ac_rel_pairs,ac_rel_types,dataset_type,para_types
0,195,"<para-body> <ac> State and local court rules sometimes make default judgments much more likely . </ac> <ac> For example , when a person who allegedly owes a debt is told to come to court on a work day , they may be forced to choose between a default judgment and their job . </ac> <ac> I urge the CFPB to find practices that involve scheduling hearings at inconvenient times unfair , deceptive , and abusive , or inconsistent with 1692i . </ac> </para-body>","[(1, 15), (16, 53), (54, 81)]","['value', 'value', 'policy']","[(0, 1), (2, 0), (2, 1)]","['reason', 'reason', 'reason']",train,body
1,197,"<para-body> <ac> There is currently a split between the Ninth and First Circuits as to whether 1692i and other FDCPA provisions apply in garnishment proceedings . </ac> <ac> In many states , the nominal defendant is the judgment debtor ' s employer , </ac> <ac> but the judgment debtor is the real party in interest . </ac> <ac> To allow consumers to better assert the defenses to and exemptions from garnishment available under state law , the CFPB should issue a rule applying 1692i to garnishment proceedings . </ac> </para-body>","[(1, 26), (27, 43), (44, 56), (57, 88)]","['fact', 'fact', 'value', 'policy']","[(3, 0)]",['reason'],train,body
2,198,"<para-body> <ac> In many districts where bad check diversion programs exist , there is anecdotal evidence that the companies administering the programs threaten with prosecution individuals who do not come within the state ' s bad check law </ac> <ac> for example , checks that bounce due to printing errors , checks for which there were funds available when written but not when presented , and individuals who pay the amount due by other means within grace periods permitted by state law . </ac> <ac> The CFPB should ensure that bad check diversion programs have a realistic means of ensuring that only individuals realistically subject to prosecution are targeted , </ac> <ac> and should also require that , in order to qualify for the 1692p safe harbor , diversion programs prohibit misleading communications and misstatements of state bad check law . </ac> </para-body>","[(1, 38), (39, 83), (84, 110), (111, 141)]","['fact', 'fact', 'policy', 'policy']","[(2, 0)]",['reason'],train,body
3,200,<para-body> <ac> Consumer attorneys occasionally advise their clients not to record unlawful communications due to state laws requiring both parties ' consent for recording . </ac> <ac> The CFPB should require that debt collectors subject to the FDCPA impliedly consent to recording by consumers . </ac> </para-body>,"[(1, 25), (26, 45)]","['fact', 'policy']","[(1, 0)]",['reason'],train,body
4,201,<para-body> <ac> When an attorney is a ' Debt Collector ' ( as per their own documents ) and not legally considered a ' Collection Agency ' the attorney is not held accountable for consumer protection law violations ( both local and federal ) within civil court . </ac> <ac> This loop hole needs to be addressed . </ac> <ac> The attorneys / debt collectors are not monitored by the state bar </ac> <ac> because it is a collection practice </ac> <ac> ( the attorneys buy old debt and then collect upon that debt in civil court </ac> <ac> and the state and federal civil courts are not monitoring the attorneys </ac> <ac> because it is an attorneys office and not considered a collection agency </ac> <ac> - even though the attorneys buy old debt then take alleged debtors to civil court . </ac> <ac> I personally know of a very large attorney agency in Washington State that even gives classes thru the Washington state bar to other attorneys </ac> <ac> because it is a easy caseload to win . </ac> </para-body>,"[(1, 48), (49, 58), (59, 72), (73, 80), (81, 97), (98, 111), (112, 125), (126, 143), (144, 169), (170, 180)]","['fact', 'policy', 'fact', 'fact', 'fact', 'fact', 'fact', 'fact', 'testimony', 'value']","[(2, 3), (5, 6), (8, 9)]","['reason', 'reason', 'reason']",train,body
5,203,<para-body> <ac> There is currently dispute among federal district and circuit courts as to whether a post - default assignee of a debt comes within the creditor exception . </ac> <ac> The CFPB should issue a rule providing that a post - default assignee is a collector for FDCPA purposes . </ac> </para-body>,"[(1, 29), (30, 51)]","['fact', 'policy']","[(1, 0)]",['reason'],train,body
6,204,"<para-body> <ac> The FDCPA contains an exception for creditors . </ac> <ac> The CFPB should include in any rule confirmation that the same practices prohibited for collectors under the FDCPA would be unfair , deceptive , or abusive acts and practices if done by a creditor . </ac> </para-body>","[(1, 10), (11, 47)]","['fact', 'policy']","[(1, 0)]",['reason'],train,body
7,205,<para-body> <ac> Assignments without notice could lead to consumers paying the wrong person . </ac> <ac> The CFPB should encourage proper notice by ruling that a payment made to either of the assignee or the assignor reduces the debt . </ac> </para-body>,"[(1, 14), (15, 40)]","['value', 'policy']","[(1, 0)]",['reason'],train,body
8,206,"<para-body> <ac> The original creditor has information about the debtor ' s language ; </ac> <ac> ii ) The collector obtains information about the debtor ' s language ; * or * </ac> <ac> iii ) The debtor lives in a ZIP code known to have a significant ( 5 % ? ) number of non - English speakers . </ac> <ac> This requirement should only apply to languages with large LEP populations - a threshold might be 100 , 000 - to avoid undue cost . </ac> <ac> For smaller populations , where obtaining a full translation might be uneconomical , collectors could include the following passage translated into the appropriate languages on an otherwise English letter : </ac> </para-body>","[(1, 14), (15, 32), (33, 60), (61, 87), (88, 119)]","['value', 'value', 'value', 'policy', 'value']",[],[],train,body
9,207,"<para-body> <ac> I work at a private university </ac> <ac> and we do not sue for collections . </ac> <ac> Since the debt can be reported to the credit bureau for 7 years , </ac> <ac> we like to keep our accounts at collection agencies during that entire time . </ac> <ac> With the language now being offered due to time - barred states , our collection agencies do not want any of our accounts older than 4 years ( TX ) . </ac> </para-body>","[(1, 8), (9, 18), (19, 34), (35, 50), (51, 83)]","['testimony', 'testimony', 'fact', 'testimony', 'testimony']","[(3, 2)]",['reason'],train,body
