essay_id,para_id,para_types,para_text,adu_spans,ac_spans,ai_spans,ac_types,ac_rel_targets,ac_rel_types,ac_rel_pairs
0,0,prompt,<prompt> should students be taught to compete or to cooperate ? </prompt>,[],[],[],[],[],[],[]
0,1,intro,"<para-intro> it is always said that competition can effectively promote the development of economy . in order to survive in the competition , companies continue to improve their products and service , and as a result , the whole society prospers . however , when we discuss the issue of competition or cooperation , what we are concerned about is not the whole society , but the development of an individual ' s whole life . from this point of view , i firmly believe that <ac> we should attach more importance to cooperation during primary education </ac> . </para-intro>","[(76, 97)]","[(86, 97)]","[(76, 85)]",['MajorClaim'],[12],[],[]
0,2,body,"<para-body> first of all , <ac> through cooperation , children can learn about interpersonal skills which are significant in the future life of all students </ac> . <ac> what we acquired from team work is not only how to achieve the same goal with others but more importantly , how to get along with others </ac> . <ac> during the process of cooperation , children can learn about how to listen to opinions of others , how to communicate with others , how to think comprehensively , and even how to compromise with other team members when conflicts occurred </ac> . <ac> all of these skills help them to get on well with other people and will benefit them for the whole life </ac> . </para-body>","[(1, 25), (26, 55), (56, 99), (100, 123)]","[(5, 25), (27, 55), (57, 99), (101, 123)]","[(1, 4), (26, 26), (56, 56), (100, 100)]","['Claim', 'Premise', 'Premise', 'Premise']","[12, 0, 0, 0]","['Support', 'Support', 'Support']","[(0, 1), (0, 2), (0, 3)]"
0,3,body,"<para-body> on the other hand , <ac> the significance of competition is that how to become more excellence to gain the victory </ac> . hence it is always said that <ac> competition makes the society more effective </ac> . however , <ac> when we consider about the question that how to win the game , we always find that we need the cooperation </ac> . the greater our goal is , the more competition we need . <ac> take olympic games which is a form of competition for instance , it is hard to imagine how an athlete could win the game without the training of his or her coach , and the help of other professional staffs such as the people who take care of his diet , and those who are in charge of the medical care </ac> . the winner is the athlete but the success belongs to the whole team . therefore <ac> without the cooperation , there would be no victory of competition </ac> . </para-body>","[(1, 22), (24, 37), (39, 63), (76, 139), (155, 168)]","[(6, 22), (30, 37), (41, 63), (77, 139), (156, 168)]","[(1, 5), (24, 29), (39, 40), (76, 76), (155, 155)]","['Premise', 'Claim', 'Premise', 'Premise', 'Claim']","[1, 12, 4, 4, 12]","['Support', 'Support', 'Support']","[(1, 0), (4, 2), (4, 3)]"
0,4,conclusion,"<para-conclusion> consequently , no matter from the view of individual development or the relationship between competition and cooperation we can receive the same conclusion that <ac> a more cooperative attitudes towards life is more profitable in one ' s success </ac> . </para-conclusion>","[(1, 40)]","[(25, 40)]","[(1, 24)]",['MajorClaim'],[12],[],[]
1,5,prompt,<prompt> more people are migrating to other countries than ever before </prompt>,[],[],[],[],[],[],[]
1,6,intro,"<para-intro> the last 50 years have seen an increasing number of immigrants to other countries . people moved due to a number of reasons , namely better educations or higher salary jobs . some people thought that they should follow the local customs in order to integrate into their adopted countries ’ cultures . however i strongly believe that <ac> they are able to sustain their cultural identities and doing so help they keep their origin values </ac> . </para-intro>","[(54, 77)]","[(59, 77)]","[(54, 58)]",['MajorClaim'],[12],[],[]
1,7,body,"<para-body> firstly , <ac> maintaining one ’ s cultural identity is a key important rule to help individuals emerge in the new multicultural environments </ac> . <ac> take australia for example , immigrants from varieties of nations have a day called multicultural day where people from each country prepare their food and traditional activities for displaying in the public venues </ac> . <ac> many australians come this day to enjoy the shows , learn about the cultures and admire the diverse values </ac> . <ac> these feedbacks , in turn , help raise one ’ s pride of their cultures and help people understand each other more </ac> . thus this makes it clear that <ac> sustaining the cultural values of immigrants is paramount essential </ac> . </para-body>","[(1, 24), (25, 60), (61, 82), (83, 107), (109, 125)]","[(3, 24), (26, 60), (62, 82), (84, 107), (115, 125)]","[(1, 2), (25, 25), (61, 61), (83, 83), (109, 114)]","['Premise', 'Premise', 'Premise', 'Premise', 'Claim']","[4, 4, 4, 4, 12]","['Support', 'Support', 'Support', 'Support']","[(4, 0), (4, 1), (4, 2), (4, 3)]"
1,8,body,"<para-body> secondly , <ac> it is crucial to keep one ’ s identity </ac> for <ac> they need a connection back to their country as well as teach their children their value of origin </ac> . for instance , <ac> children immigrated to a new country will face social troubles in school with new friends </ac> . <ac> in this new environment , parent should find friends coming from their same country so that they can socialize in a very familiar manner as feeling being home </ac> . <ac> fail to create this familiarity makes them felt isolated , in the extreme can lead to social disorder like autism </ac> . hence , it is clear that <ac> keeping the cultural traditions in the destination countries is tremendous important </ac> . </para-body>","[(1, 13), (14, 34), (36, 55), (56, 86), (87, 109), (111, 129)]","[(3, 13), (15, 34), (39, 55), (57, 86), (88, 109), (117, 129)]","[(1, 2), (14, 14), (36, 38), (56, 56), (87, 87), (111, 116)]","['Premise', 'Premise', 'Premise', 'Premise', 'Premise', 'Claim']","[5, 0, 5, 5, 5, 12]","['Support', 'Support', 'Support', 'Support', 'Support']","[(5, 0), (0, 1), (5, 2), (5, 3), (5, 4)]"
1,9,conclusion,"<para-conclusion> to conclude , although <ac> there are opposing ideas of neglecting one ’ s cultural values to adapt in the new cultures </ac> . as far as i am concerned , <ac> sustaining the traditions will make the immigrated people keep their cultural identity and give them confident among the many culture society </ac> . </para-conclusion>","[(1, 23), (25, 54)]","[(5, 23), (32, 54)]","[(1, 4), (25, 31)]","['Claim', 'MajorClaim']","[12, 12]",[],[]
